fecha,monto,descripcion,categoria,sucursal,tipo_transaccion,Numero de sucursal,Ingresos,Egresos
2025-01-01,50000,Depósito inicial,Ingreso,Sucursal Centro,deposito,Sucursal Centro,50000.0,0.0
2025-01-02,25000,Retiro ATM,Egreso,Sucursal Norte,retiro,Sucursal Norte,25000.0,0.0
2025-01-03,75000,Transferencia recibida,Ingreso,Sucursal Sur,transferencia,Sucursal Sur,75000.0,0.0
2025-01-04,15000,Pago de servicio,Egreso,Sucursal Centro,pago,Sucursal Centro,15000.0,0.0
2025-01-05,100000,Depósito empresarial,Ingreso,Sucursal Este,deposito,Sucursal Este,100000.0,0.0
2025-01-06,30000,Retiro ventanilla,Egreso,Sucursal Norte,retiro,Sucursal Norte,30000.0,0.0
2025-01-07,200000,Préstamo desembolsado,Egreso,Sucursal Centro,prestamo,Sucursal Centro,200000.0,0.0
2025-01-08,45000,Pago de préstamo,Ingreso,Sucursal Sur,pago_prestamo,Sucursal Sur,45000.0,0.0
2025-01-09,80000,Depósito nómina,Ingreso,Sucursal Este,deposito,Sucursal Este,80000.0,0.0
2025-01-10,12000,Comisión bancaria,Egreso,Sucursal Norte,comision,Sucursal Norte,12000.0,0.0
